year,month,day,weekday,count,T_mean
2010,1,1,Friday,9,19.025
2010,1,2,Saturday,9,19.86666667
2010,1,3,Sunday,9,21.31666667
2010,1,4,Monday,6,17.85
2010,1,5,Tuesday,15,17.65833333
2010,1,6,Wednesday,29,19.125
2010,1,7,Thursday,18,19.20416667
2010,1,8,Friday,15,16.87083333
2010,1,9,Saturday,9,16.52083333
2010,1,10,Sunday,9,18.25416667
2010,1,11,Monday,15,15.77916667
2010,1,12,Tuesday,19,16.21666667
2010,1,13,Wednesday,26,17.775
2010,1,14,Thursday,23,17.9
2010,1,15,Friday,23,22.31666667
2010,1,16,Saturday,6,18.63333333
2010,1,18,Monday,20,19.25416667
2010,1,19,Tuesday,28,20.59583333
2010,1,20,Wednesday,40,21.2625
2010,1,21,Thursday,27,19.64583333
2010,1,22,Friday,25,19.57083333
2010,1,25,Monday,30,21.47083333
2010,1,26,Tuesday,28,20.64583333
2010,1,27,Wednesday,32,20.425
2010,1,28,Thursday,30,20.48333333
2010,1,29,Friday,20,20.875
2010,1,30,Saturday,9,20.50833333
2010,1,31,Sunday,9,20.3125
2010,2,1,Monday,27,21.575
2010,2,2,Tuesday,34,21.47083333
2010,2,3,Wednesday,55,20.55416667
2010,2,4,Thursday,33,20.825
2010,2,5,Friday,30,21.53333333
2010,2,6,Saturday,10,20.675
2010,2,8,Monday,25,21.19166667
2010,2,9,Tuesday,33,21.0625
2010,2,10,Wednesday,38,20.96666667
2010,2,11,Thursday,33,20.79583333
2010,2,12,Friday,30,21.80416667
2010,2,13,Saturday,12,22.8625
2010,2,14,Sunday,12,21.90833333
2010,2,15,Monday,40,21.10833333
2010,2,16,Tuesday,15,18.57083333
2010,2,17,Wednesday,50,21.70833333
2010,2,18,Thursday,34,21.34166667
2010,2,19,Friday,35,20.75
2010,2,20,Saturday,9,19.24583333
2010,2,22,Monday,30,21.175
2010,2,23,Tuesday,25,21.7625
2010,2,24,Wednesday,41,22.25
2010,2,25,Thursday,35,20.1875
