YEAR,WEEK,NUMBER,RESULT
2014,39,8,0
2016,37,39,0
2017,33,50,1
2017,33,17,1
2016,37,12,0
2017,33,43,1
2017,33,50,1
2016,37,13,0
2017,33,27,1
2017,33,19,1
2017,33,50,0
2016,37,5,0
2017,33,31,1
2013,31,48,1
2017,33,50,1
2016,37,18,0
2017,33,2,0
2016,37,1,0
2016,37,31,0
2016,37,7,0
2017,33,50,1
2016,37,1,0
2016,37,6,0
2017,33,1,0
2017,33,27,1
2007,32,5,0
2016,39,1,0
2017,33,41,1
2019,23,10,0
2017,33,3,0
2017,33,50,1
2017,33,48,1
2017,33,9,1
2017,33,3,0
2016,39,6,0
2017,33,3,0
2017,33,2,0
2017,33,7,0
2007,30,19,0
2009,27,11,0
2013,23,19,0
2017,33,50,1
2014,37,6,0
2014,24,3,0
2013,29,49,1
2010,33,47,1
2016,30,50,0
2010,33,3,1
2016,31,50,1
2010,35,1,0
2009,37,2,0
2015,28,3,0
2015,28,3,0
2007,34,43,0
2009,29,8,0
2013,31,38,1
2009,28,36,0
2013,24,39,0
2010,29,3,0
2012,30,2,1
2009,33,10,0
2011,28,12,0
2015,31,50,1
2014,28,1,0
2014,34,1,0
2015,35,11,1
2017,33,50,1
2017,33,2,0
2017,33,44,1
2009,26,8,0
2017,33,8,0
2017,33,50,1
2017,33,21,0
2017,33,50,1
2017,33,44,1
2013,25,3,0
2016,25,37,0
2009,31,7,0
2012,34,3,0
2009,30,2,0
2017,34,4,0
2017,34,1,0
2017,34,50,1
2017,34,3,0
2011,29,2,0
2013,29,10,0
2012,33,50,1
2019,23,4,0
2019,23,5,0
2019,23,1,0
2019,23,3,0
2019,23,1,0
2007,29,50,1
2019,23,3,0
2019,23,3,0
2017,34,28,1
2012,26,50,0
2015,34,50,1
2019,23,7,0
2008,34,5,0
2019,23,7,0
2015,33,2,0
2019,23,1,0
2019,23,6,0
2019,23,1,0
2019,23,12,0
2019,23,23,0
2019,23,17,0
2019,23,6,0
2019,23,7,0
2019,23,22,0
2019,23,1,0
2019,23,1,0
2019,23,7,0
2019,23,15,0
2019,23,7,0
2019,23,3,0
2017,34,21,0
2019,23,3,0
2019,23,1,0
2019,23,1,0
2013,35,27,0
2019,23,8,0
2019,23,5,0
2019,23,36,0
2019,23,5,0
2017,34,1,0
2014,29,47,0
2019,23,1,0
2019,23,10,0
2019,23,2,0
2019,23,23,0
2008,29,50,0
2019,23,5,0
2019,23,9,0
2008,29,32,0
2019,23,2,0
2017,34,2,1
2019,23,11,0
2019,23,8,0
2019,23,49,0
2014,36,2,0
2019,23,4,0
2019,23,4,0
2019,23,35,0
2015,34,48,1
2019,23,7,0
2011,27,50,0
2017,34,50,0
2007,37,1,0
2019,23,17,0
2019,23,4,0
2019,23,17,0
2017,34,8,0
2019,23,1,0
2019,23,1,0
2019,23,29,0
2019,23,8,0
2019,23,32,0
2019,23,19,0
2017,34,22,1
2010,30,10,0
2019,23,1,0
2019,23,15,0
2019,23,7,0
2019,23,17,0
2017,34,2,0
2017,34,6,0
2019,23,16,0
2017,34,1,0
2019,23,1,0
2019,23,17,0
2017,34,15,1
2019,23,22,0
2019,23,1,0
2017,34,34,1
2019,23,50,0
2019,23,3,0
2019,23,3,0
2019,23,2,0
2019,23,2,0
2015,25,27,0
2012,25,23,0
2017,34,50,1
2019,23,4,0
2019,23,15,0
2019,23,2,0
2019,23,7,0
2017,34,28,1
2017,34,2,0
2019,23,7,0
2019,23,2,0
2019,23,7,0
2019,23,1,0
2019,23,4,0
2019,23,3,0
2019,23,7,0
2019,23,14,0
2019,23,4,0
2012,23,5,0
2019,23,3,0
2017,34,2,0
2008,39,2,0
2019,23,6,0
2019,23,2,0
2019,23,2,0
2019,23,8,0
2019,23,18,0
2019,23,5,0
2019,23,8,0
2019,23,1,0
2019,23,11,0
2019,23,1,0
2008,34,2,0
2019,23,6,0
2019,23,11,0
2019,23,2,0
2019,23,8,0
2019,23,5,0
2019,23,43,0
2019,23,5,0
2019,23,1,0
2013,25,34,0
2019,23,9,0
2019,23,7,0
2019,23,4,0
2019,23,5,0
2013,23,1,0
2019,23,3,0
2019,23,7,0
2019,23,1,0
2019,23,20,0
2019,23,43,0
2019,23,5,0
2019,23,30,0
2017,35,20,1
2017,35,23,0
2019,23,23,0
2019,23,1,0
2017,35,1,0
2019,23,4,0
2019,23,3,0
2019,23,15,0
2019,23,8,0
2019,23,2,0
2019,23,10,0
2019,23,11,0
2012,25,13,0
2019,23,9,0
2019,23,2,0
2015,29,50,0
2019,23,13,0
2019,23,13,0
2017,35,1,0
2019,23,17,0
2017,35,8,0
2019,23,10,0
2014,24,50,0
2019,23,2,0
2019,23,6,0
2019,23,12,0
2012,27,50,1
2019,23,28,0
2019,23,27,0
2019,23,2,0
2019,23,2,0
2019,23,2,0
2019,23,1,0
2017,35,3,0
2017,35,11,0
2014,39,2,0
2014,36,7,0
2017,35,1,0
2017,35,11,0
2017,35,9,0
2017,35,3,0
2014,37,13,0
2017,35,12,0
2017,35,1,0
2017,35,4,0
2017,35,16,1
2017,35,3,0
2017,35,45,1
2009,36,1,0
2010,35,2,0
2009,35,3,0
2011,36,5,0
2017,36,12,1
2017,36,4,0
2014,29,26,0
2015,33,5,0
2013,32,2,0
2017,36,2,0
2013,33,4,0
2011,23,4,0
2017,36,3,0
2017,36,5,0
2011,37,6,0
2017,36,7,0
2017,36,1,0
2017,36,2,0
2008,39,50,1
2012,24,9,0
2017,36,5,0
2017,36,1,0
2008,38,10,0
2011,29,50,0
2011,22,36,0
2014,37,6,0
2017,36,10,0
2017,36,25,0
2015,33,6,1
2011,29,9,0
2011,29,48,0
2010,27,1,0
2017,36,2,0
2017,36,2,0
2017,36,1,0
2019,24,23,0
2017,37,9,0
2014,28,28,0
2017,37,1,0
2017,37,9,0
2011,29,2,0
2019,24,3,0
2019,24,8,0
2019,24,3,0
2019,24,29,0
2019,24,1,0
2017,37,3,0
2019,24,50,0
2019,24,2,0
2009,38,2,0
2017,37,1,0
2019,24,33,0
2019,24,1,0
2019,24,16,0
2019,24,7,0
2010,28,50,0
2014,39,2,0
2019,24,23,0
2019,24,5,0
2019,24,8,0
2017,37,2,0
2019,24,2,0
2019,24,11,0
2019,24,3,0
2019,24,11,0
2019,24,32,0
2019,24,13,0
2019,24,27,0
2019,24,17,0
2019,24,2,0
2015,34,50,0
2013,31,50,1
2019,24,1,0
2019,24,20,0
2019,24,16,0
2019,24,46,0
2019,24,4,0
2019,24,5,0
2019,24,3,0
2017,37,3,0
2019,24,9,0
2019,24,50,0
2019,24,21,0
2019,24,47,0
2019,24,3,0
2017,37,1,0
2019,24,6,0
2019,24,50,0
2019,24,25,0
2019,24,6,0
2019,24,10,0
2019,24,1,0
2017,37,1,0
2019,24,25,0
2007,34,50,0
2019,24,2,0
2019,24,1,0
2017,37,1,0
2019,24,1,0
2019,24,2,0
2019,24,44,0
2019,24,7,0
2019,24,8,0
2019,24,8,0
2019,24,3,0
2019,24,1,0
2019,24,3,0
2019,24,3,0
2015,35,19,1
2019,24,17,0
2019,24,48,0
2015,30,34,0
2019,24,18,0
2019,24,10,0
2009,31,7,0
2019,24,7,0
2019,24,7,0
2019,24,2,0
2019,24,1,0
2019,24,18,0
2009,28,19,0
2019,24,4,0
2019,24,2,0
2017,37,9,0
2019,24,8,0
2019,24,7,0
2019,24,21,0
2008,37,4,0
2019,24,3,0
2017,37,3,0
2014,33,23,1
2017,37,6,0
2012,31,50,1
2019,24,24,0
2019,24,13,0
2019,24,38,0
2013,30,9,0
2016,29,29,1
2019,24,5,0
2017,37,3,0
2019,24,2,0
2019,24,27,0
2014,26,27,0
2019,24,11,0
2014,32,7,0
2019,24,1,0
2019,24,2,0
2019,24,2,0
2019,24,35,0
2008,38,11,0
2019,24,4,0
2019,24,20,0
2019,24,34,0
2019,24,36,0
2019,24,1,0
2015,26,50,1
2019,24,3,0
2014,32,26,0
2019,24,9,0
2019,24,7,0
2019,24,4,0
2019,24,50,0
2017,38,21,0
2012,32,50,1
2019,24,50,0
2017,38,5,0
2019,24,50,0
2019,24,26,0
2019,24,1,0
2019,24,14,0
2019,24,8,0
2019,24,16,0
2017,38,4,0
2011,30,21,1
2019,24,9,0
2019,24,11,0
2009,27,42,0
2019,24,14,0
2019,24,50,0
2019,24,45,0
2019,24,5,0
2019,24,38,0
2019,24,1,0
2017,38,1,0
2019,24,24,0
2019,24,8,0
2019,24,19,0
2019,24,12,0
2017,38,2,0
2010,27,5,0
2019,24,3,0
2019,24,9,0
2019,24,21,0
2019,24,9,0
2011,35,1,0
2017,38,1,0
2019,24,15,0
2019,24,1,0
2019,24,9,0
2010,30,8,0
2019,24,24,0
2017,38,5,0
2019,24,26,0
2019,24,15,0
2017,38,3,0
2015,36,3,0
2019,24,49,0
2019,24,8,0
2019,24,24,0
2013,29,50,0
2019,24,1,0
2019,24,1,0
2019,24,22,0
2015,38,8,0
2019,24,20,0
2019,24,10,0
2019,24,1,0
2019,24,50,0
2019,24,4,0
2019,24,4,0
2019,24,1,0
2019,24,45,0
2019,24,4,0
2019,24,10,0
2015,25,31,0
2014,28,2,0
2019,24,2,0
2019,24,43,0
2019,24,7,0
2017,38,10,0
2012,31,2,0
2019,24,4,0
2019,24,7,0
2019,24,3,0
2009,30,3,0
2017,38,3,0
2019,24,27,0
2017,38,1,1
2019,24,13,0
2016,29,50,1
2013,31,25,0
2019,24,7,0
2019,24,19,0
2019,24,2,0
2019,24,50,0
2019,24,50,0
2019,24,43,0
2019,24,3,0
2019,24,17,0
2019,24,3,0
2019,24,21,0
2012,32,50,0
2019,24,1,0
2019,24,7,0
2012,23,6,0
2011,33,6,0
2019,24,13,0
2019,24,1,0
2019,24,29,0
2019,24,50,0
2019,24,1,0
2019,24,47,0
2011,31,2,0
2019,24,9,0
2019,24,4,0
2019,24,2,0
2019,24,16,0
2019,24,2,0
2019,24,7,0
2019,24,6,0
2014,39,4,0
2010,35,1,0
2013,28,50,0
2014,24,50,0
2010,36,4,0
2014,29,47,0
2017,39,3,0
2015,30,1,0
2017,39,29,0
2008,35,36,0
2017,39,21,0
2015,22,8,0
2017,39,2,0
2008,25,2,0
2017,39,1,0
2017,39,3,0
2017,39,2,1
2017,39,2,0
2009,35,2,0
2016,26,16,0
2017,39,22,0
2013,35,13,0
2011,25,35,0
2017,39,28,0
2019,25,1,0
2013,31,50,1
2017,39,4,0
2008,24,3,0
2010,36,4,0
2011,26,2,0
2014,30,9,0
2014,36,2,0
2013,36,4,0
2013,30,14,0
2007,31,5,0
2015,29,5,0
2019,25,1,0
2019,25,16,0
2019,25,1,0
2019,25,4,0
2019,25,4,0
2019,25,2,0
2019,25,35,0
2019,25,9,0
2019,25,5,0
2019,25,9,0
2019,25,50,0
2019,25,2,0
2019,25,5,0
2019,25,9,0
2019,25,2,0
2014,28,3,0
2019,25,5,0
2019,25,9,0
2019,25,28,0
2019,25,2,0
2019,25,21,0
2019,25,4,0
2019,25,4,0
2019,25,2,0
2010,36,1,0
2019,25,3,0
2019,25,5,0
2019,25,7,0
2019,25,1,0
2019,25,22,0
2019,25,5,0
2019,25,10,0
2019,25,2,0
2019,25,8,0
2019,25,13,0
2019,25,2,0
2019,25,24,0
2007,39,15,0
2019,25,25,0
2019,25,14,0
2007,37,2,0
2019,25,8,0
2019,25,27,0
2015,36,10,0
2015,22,29,0
2019,25,11,0
2019,25,1,0
2019,25,12,0
2019,25,3,0
2019,25,10,0
2019,25,1,0
2019,25,7,0
2019,25,42,0
2012,25,19,0
2011,27,8,0
2019,25,26,0
2007,26,1,0
2019,25,2,0
2019,25,1,0
2019,25,14,0
2018,23,42,0
2019,25,2,0
2019,25,5,0
2009,23,8,0
2019,25,9,0
2019,25,3,0
2018,23,12,0
2019,25,13,0
2013,38,27,1
2019,25,2,0
2019,25,6,0
2019,25,1,0
2019,25,5,0
2019,25,18,0
2019,25,4,0
2019,25,8,0
2019,25,34,0
2019,25,11,0
2019,25,3,0
2019,25,10,0
2018,23,50,0
2019,25,8,0
2019,25,15,0
2019,25,18,0
2019,25,49,0
2011,23,1,0
2018,23,26,1
2019,25,40,0
2019,25,4,0
2019,25,2,0
2019,25,5,0
2018,23,6,0
2019,25,27,0
2019,25,5,0
2018,23,4,0
2019,25,4,0
2019,25,4,0
2019,25,4,0
2019,25,16,0
2019,25,40,0
2019,25,4,0
2018,23,13,0
2019,25,10,0
2019,25,3,0
2013,36,41,0
2019,25,2,0
2019,25,26,0
2019,25,10,0
2019,25,4,0
2019,25,11,0
2019,25,7,0
2019,25,3,0
2019,25,13,0
2019,25,12,0
2018,23,39,0
